드롭다운이름,lat,lon,사고건수,가로등수
마포구 공덕오거리,37.543876656389955,126.95121850784311,25,0
마포구 성산2교앞교차로,37.56560380712484,126.91171280560849,30,20
마포구 태성빌딩,37.55041974257499,126.92124795637497,25,0
마포구 합정역7번출구(동남동방향 75M),37.54851415940884,126.91479967902852,20,0
마포구 청원제일주유소,37.55698999540296,126.92427415022526,28,0
마포구 룸앤루머,37.550754194673885,126.92288851488983,30,0
마포구 월드컵경기장교차로,37.567633979296076,126.89342994160168,19,0
마포구 독막길입구,37.54213686896723,126.94918288334674,22,0
마포구 상암사거리,37.573558162608045,126.89870797349549,22,0
마포구 창천동삼거리,37.55694940827844,126.93158533553078,17,0
마포구 마포대교입구교차로(북동방향 107M),37.53950450831234,126.94593728651877,16,3
마포구 합정역교차로,37.54923392837713,126.91338431062614,22,0
마포구 창전삼거리,37.552751797034716,126.93339988099761,15,0
마포구 동서빌라,37.56026044497147,126.92401052500162,22,0
마포구 남도미향유통(서남서방향 118M),37.54851100404671,126.91053344367319,16,65
마포구 망원2주민센터(북북서방향 95M),37.5619224639571,126.90491484465475,15,18
마포구 홍익대앞교차로,37.552971686803424,126.92449323838514,16,0
마포구 서교빌딩,37.5559964751654,126.92058567790113,15,0
마포구 당인리사거리,37.547950294538936,126.92018683167665,11,0
마포구 성산3교,37.56470001272855,126.90804660310653,14,33
마포구 당인리발전소(서방향 147M),37.54817316863112,126.9167464591957,11,0
서대문구 홍제동294-46,37.59093126147138,126.94152954453972,26,16
서대문구 홍은사거리,37.59126453852508,126.94134811971392,43,17
서대문구 홍연2교앞교차로,37.57795080352645,126.93019631558843,26,17
서대문구 서부빌딩,37.58819393233538,126.94504159600193,27,0
서대문구 증산교앞,37.57671562299964,126.9034583274749,24,14
서대문구 경찰청앞교차로,37.56208291981943,126.96937257354668,22,17
서대문구 독립문역앞교차로,37.572324452399855,126.96004079168657,26,25
서대문구 창천오피스텔(동남동방향 152M),37.5601228036266,126.93492125613352,26,0
서대문구 연세대앞교차로,37.560168789163825,126.93664155945602,20,0
서대문구 서대문역사거리,37.565722150829565,126.96645081011239,25,0
서대문구 홍제삼거리,37.5861856150287,126.94700177626054,20,0
서대문구 신촌역,37.55894642889124,126.94249392991,24,0
서대문구 충정로역가구상가,37.559369413170515,126.96403162198457,20,0
서대문구 서대문구청앞교차로,37.58195460934187,126.93619289053905,19,27
서대문구 인왕아파트교차로(남동방향 277M),37.58300644802856,126.95007215800484,13,0
서대문구 명지대입구교차로,37.581480562466695,126.92667210424335,19,0
서대문구 연희지하차도,37.57634094575964,126.9353260027111,14,0
